"","Path","Filename","HiF","LoF","SppAccp","Prob","calls.sec","X1st","X.Spp","X.Prob","source"
"1","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225215-noID.wav","IRON01_20210729_225215-noID.wav",1,NA,"",NA,16.51,"Mylu","Mylu/","1.00/0.00","v.4.4.5"
"2","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225232-HiF.wav","IRON01_20210729_225232-HiF.wav",1,NA,"",NA,6.93,"Mylu","Mylu","0.9969","v.4.4.5"
"3","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225249-Mylu.wav","IRON01_20210729_225249-Mylu.wav",1,1,"",NA,15.34,"Mylu","Mylu","1.0000","v.4.4.5"
"4","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225306-noID.wav","IRON01_20210729_225306-noID.wav",1,NA,"",NA,10.83,"Myvo","Myvo/","1.00/0.00","v.4.4.5"
"5","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225323-Lano.wav","IRON01_20210729_225323-Lano.wav",1,1,"",NA,9.64,"Lano","Mylu","0.9880","v.4.4.5"
"6","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225340-Lano.wav","IRON01_20210729_225340-Lano.wav",1,1,"Lano",1,7,"Lano","","","v.4.4.5"
"7","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225357-HiF.wav","IRON01_20210729_225357-HiF.wav",1,1,"",NA,11.32,"Lano","Mylu/Myvo/Myci","0.42/0.41/0.17","v.4.4.5"
"8","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225414-Lano.wav","IRON01_20210729_225414-Lano.wav",1,1,"Lano",1,2.34,"Lano","","","v.4.4.5"
"9","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225431-HiF.wav","IRON01_20210729_225431-HiF.wav",1,1,"",NA,11.69,"Mylu","Mylu","0.9947","v.4.4.5"
"10","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225448-Lano.wav","IRON01_20210729_225448-Lano.wav",1,1,"",NA,10.19,"Lano","Myvo","0.9273","v.4.4.5"
"11","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225505-HiF.wav","IRON01_20210729_225505-HiF.wav",1,NA,"",NA,9.12,"Myvo","Mylu/Myvo","0.50/0.50","v.4.4.5"
"12","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225522-Lano.wav","IRON01_20210729_225522-Lano.wav",1,1,"",NA,8.57,"Lano","Mylu/Myvo","0.64/0.36","v.4.4.5"
"13","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225539-HiF.wav","IRON01_20210729_225539-HiF.wav",1,1,"",NA,13.63,"Mylu","Mylu/Myev","0.50/0.50","v.4.4.5"
"14","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225556-Lano.wav","IRON01_20210729_225556-Lano.wav",1,1,"",NA,11.63,"Lano","Mylu","0.9992","v.4.4.5"
"15","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225613-HiF.wav","IRON01_20210729_225613-HiF.wav",1,NA,"",NA,6.88,"Mylu","Mylu","0.9090","v.4.4.5"
"16","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225630-HiLo.wav","IRON01_20210729_225630-HiLo.wav",1,1,"",NA,11.09,"Lano","Myvo","0.9987","v.4.4.5"
